sector_operacion,nivel_riesgo,tiempo_experiencia,horas_jornada,condicion_laboral,turno,clima_extremo,uso_epp,incidente_prev,grado_accidente
2,5,29,6,1,1,0,0,0,0
4,2,20,10,1,1,1,1,0,1
2,6,20,12,3,1,0,0,0,0
4,6,7,9,2,1,0,0,2,1
1,5,13,7,3,1,0,0,1,1
1,4,8,11,1,0,1,1,1,1
3,3,27,6,1,1,0,0,2,1
2,4,19,7,2,1,0,0,1,1
2,3,15,7,1,0,1,0,0,1
1,8,7,6,2,0,0,1,0,1
2,4,13,9,3,0,1,0,0,0
1,3,7,11,1,1,1,0,0,1
2,6,2,11,2,1,0,0,0,1
4,3,19,8,3,0,1,0,1,0
1,2,26,12,3,0,1,0,0,1
3,9,1,11,2,0,1,1,1,0
4,2,4,10,2,1,1,1,2,0
4,8,27,9,2,0,1,1,0,0
3,9,15,7,3,0,1,1,1,0
2,4,15,9,1,0,1,0,1,0
4,2,5,9,2,0,0,0,0,0
1,3,26,11,2,1,0,1,1,1
1,6,11,10,1,0,0,1,2,0
3,2,21,12,1,1,0,1,2,0
1,5,13,9,1,1,1,1,1,0
2,1,14,7,3,1,0,1,2,1
4,5,11,12,1,0,1,1,2,1
3,9,1,8,3,0,1,1,2,0
3,4,19,12,2,1,0,0,2,0
3,7,13,10,3,0,0,1,0,0
2,2,17,11,3,1,1,1,1,0
1,7,25,6,2,0,0,1,1,0
1,8,29,11,3,1,1,1,0,0
2,3,14,6,1,0,0,1,1,0
1,5,4,12,1,0,1,1,0,0
4,7,9,9,3,0,0,0,0,1
2,7,26,9,1,0,0,1,0,0
3,8,15,9,3,0,0,0,2,1
2,6,13,12,3,0,0,1,1,0
4,7,26,10,1,0,0,1,2,0
3,4,1,9,2,0,0,0,0,1
3,4,24,12,1,1,0,1,2,0
1,4,9,9,3,1,0,1,2,1
1,6,16,6,3,1,1,1,2,0
1,1,11,11,3,1,0,0,0,0
1,9,21,6,2,0,1,1,1,1
4,1,8,11,3,0,0,1,1,1
4,4,18,10,2,0,0,1,0,1
4,7,26,10,1,0,0,1,0,1
1,2,9,8,1,0,0,0,2,0
1,3,8,9,2,0,0,0,1,1
1,1,1,8,2,0,1,0,0,1
3,7,1,11,1,0,0,1,0,1
3,9,9,6,3,0,1,0,0,1
2,9,17,8,3,0,1,0,2,0
1,7,2,10,2,0,0,1,2,1
2,1,19,6,2,0,1,0,1,1
1,2,29,6,3,1,1,1,2,0
1,5,2,7,3,1,0,1,1,1
3,3,21,6,3,0,1,1,0,0
4,9,5,8,3,0,1,0,2,1
4,9,10,7,3,1,0,1,2,1
3,4,10,6,3,1,1,0,2,0
2,8,20,8,2,1,0,1,0,0
3,7,17,9,3,0,0,1,0,1
2,2,9,10,1,1,0,1,2,0
1,9,28,9,2,1,0,0,0,0
1,3,19,7,2,1,1,0,0,1
1,1,6,11,3,0,1,0,0,1
3,5,23,8,1,0,1,1,1,0
4,9,26,6,2,1,1,1,2,0
4,5,24,7,2,0,1,1,2,0
4,6,17,10,2,0,1,1,1,1
3,4,24,8,2,1,0,0,2,0
3,9,10,8,3,0,0,1,0,0
3,7,15,11,3,0,1,1,1,1
3,8,6,10,1,1,1,1,2,0
4,4,22,10,3,0,0,0,0,0
4,5,0,11,2,1,0,0,2,0
4,1,9,9,3,1,1,1,0,1
2,8,10,6,3,0,1,1,0,1
1,1,9,6,3,1,0,1,0,0
3,6,10,7,1,0,1,0,0,1
4,5,7,6,1,0,1,1,0,0
2,2,26,11,2,0,1,0,2,1
1,8,11,8,1,0,0,0,0,0
1,5,18,12,2,0,0,0,1,0
3,3,19,6,1,0,1,0,0,0
1,3,10,6,2,1,0,1,2,0
4,6,25,12,2,1,1,1,0,1
3,7,28,6,1,1,0,0,1,0
1,2,26,7,1,0,1,1,2,1
1,7,3,8,2,0,0,1,1,0
2,2,1,10,2,1,0,1,2,1
4,9,18,10,3,1,1,1,1,1
2,6,4,8,2,1,1,0,2,0
2,4,15,9,2,0,1,1,1,1
3,5,2,6,3,0,1,0,0,1
3,2,20,9,3,1,0,0,2,1
2,7,23,6,2,1,1,1,1,1
4,1,7,12,3,1,0,1,2,0
2,1,25,9,1,1,1,1,2,0
3,6,2,8,1,0,0,1,1,0
3,4,20,7,3,0,0,1,2,0
1,7,16,7,2,1,1,0,0,0
3,1,22,10,3,0,1,0,1,0
3,4,2,9,1,1,0,0,1,1
1,4,26,10,3,1,0,1,2,0
1,5,22,6,1,1,0,1,2,1
4,1,28,10,2,1,1,1,2,1
4,5,28,9,1,0,0,1,1,1
3,9,7,9,2,1,0,0,2,1
4,8,9,9,2,0,0,0,0,0
2,9,22,6,3,0,1,1,1,0
2,5,20,10,2,1,0,1,1,0
2,5,14,10,3,0,1,0,2,0
2,6,13,12,3,0,0,1,0,0
2,7,24,11,3,0,0,1,0,0
1,5,0,10,3,1,1,1,0,1
4,1,29,12,3,0,1,1,2,0
2,5,5,10,3,0,0,0,2,1
1,9,5,11,2,1,0,0,1,1
1,6,22,10,2,1,0,1,1,1
3,1,6,8,1,1,1,0,1,1
3,5,15,8,3,0,1,0,2,1
4,6,17,10,3,1,1,1,1,0
3,3,25,9,2,0,1,1,1,0
3,9,4,7,1,1,0,1,0,1
4,1,5,7,3,0,0,1,0,0
1,2,17,8,2,1,0,0,2,0
2,4,24,6,1,0,1,1,1,0
3,2,21,6,2,0,1,0,0,0
4,8,20,11,3,0,1,1,2,1
1,2,7,12,3,0,0,0,2,1
2,2,7,8,1,0,0,1,0,0
3,5,29,9,3,0,0,1,2,0
2,9,27,6,1,0,0,1,2,1
3,3,13,11,1,0,0,0,2,0
4,1,16,9,2,0,0,1,2,1
1,3,22,10,2,0,1,1,0,1
2,9,5,8,3,0,0,0,1,0
3,8,2,7,3,0,0,0,1,0
4,1,0,11,1,1,1,1,2,0
1,4,17,8,3,0,1,0,0,1
1,4,28,10,3,1,0,0,2,1
2,5,16,6,2,0,1,1,0,1
2,6,18,10,3,1,0,1,2,1
3,9,13,10,3,0,0,1,2,1
3,7,5,9,3,0,1,1,1,0
4,6,1,9,3,1,0,1,0,0
2,8,5,7,3,1,1,1,0,1
2,7,10,6,2,0,0,1,1,0
2,3,25,11,3,0,0,1,1,1
2,2,23,11,3,1,1,1,0,1
1,1,18,7,2,0,1,1,0,0
3,4,2,7,2,0,0,0,1,0
4,2,27,9,2,1,0,1,2,1
3,5,16,11,1,0,1,1,0,1
3,7,18,7,1,0,1,1,2,0
3,7,22,7,3,0,1,1,0,1
3,9,8,11,1,0,1,0,2,0
1,5,12,9,3,0,0,1,1,1
4,3,23,10,2,0,1,0,1,0
1,7,10,10,1,0,1,0,0,1
2,9,2,9,2,1,1,1,2,0
3,5,4,8,3,1,0,0,0,1
4,6,16,10,2,1,0,0,1,1
3,7,0,6,2,1,1,1,1,0
1,5,8,9,1,0,1,0,2,0
4,8,15,8,3,0,1,0,0,0
3,7,26,7,3,0,0,1,1,1
2,1,29,7,3,0,1,0,2,1
3,7,9,11,1,0,0,0,0,1
3,1,29,9,1,1,0,1,1,1
3,5,11,11,1,1,0,0,2,1
2,2,22,7,2,0,1,1,2,1
2,4,3,9,1,0,1,1,2,1
4,7,3,11,3,0,1,0,1,1
1,1,18,12,1,0,0,1,0,0
3,5,20,6,3,1,0,0,1,0
1,2,7,7,3,1,0,1,0,0
4,5,18,11,2,1,0,0,2,0
2,7,21,12,3,1,1,1,2,1
4,9,19,6,2,0,1,0,1,1
2,8,2,9,1,1,0,0,2,1
3,9,16,11,2,1,0,1,1,0
1,6,12,11,2,0,0,0,0,1
4,9,23,12,2,0,1,1,0,1
2,9,6,12,2,1,1,0,2,1
2,8,12,7,1,1,0,1,1,0
4,7,6,10,1,1,1,0,2,0
1,2,7,9,3,0,1,0,2,1
1,9,25,6,2,1,0,0,1,0
2,7,13,11,1,1,0,1,0,1
3,6,24,7,3,0,0,0,0,1
3,7,15,11,3,1,1,0,2,0
3,6,11,10,2,1,1,0,2,0
3,4,14,8,1,0,1,0,1,1
1,5,9,9,2,0,1,1,0,1
2,6,18,9,3,1,1,1,1,1
2,5,1,12,2,1,0,1,1,0
3,1,14,9,2,0,1,1,2,1
2,9,3,12,1,0,0,0,2,0
1,1,3,7,3,0,1,0,1,1
4,5,12,9,1,0,1,1,1,0
4,7,23,10,2,1,1,1,1,0
2,3,23,11,3,0,1,1,1,1
2,5,6,10,1,0,0,0,2,1
2,2,20,11,2,1,1,0,1,1
3,3,15,9,1,0,1,1,2,0
3,8,0,9,3,0,1,0,1,0
2,2,21,8,1,0,0,1,2,1
4,5,0,7,3,0,0,1,0,0
1,6,1,12,2,0,0,1,0,0
2,3,13,11,1,0,0,1,0,1
1,6,5,6,2,0,0,1,1,0
1,2,0,9,2,1,0,1,1,1
1,9,29,6,1,0,1,0,0,1
1,1,21,11,2,0,0,0,0,0
3,8,12,12,2,1,1,0,2,0
2,7,8,12,1,1,0,1,0,0
1,8,21,6,1,0,1,0,1,0
1,1,0,11,3,0,1,0,2,1
4,3,28,9,3,0,0,0,1,0
2,4,8,6,3,1,0,0,1,0
1,4,22,10,2,1,0,0,2,1
3,2,26,11,1,1,1,1,0,1
4,5,20,11,3,0,1,0,1,1
4,2,22,8,2,1,0,1,2,0
4,5,5,7,3,1,0,1,2,1
4,1,15,8,3,1,1,1,2,1
1,5,7,10,1,0,1,0,1,0
3,9,7,8,1,1,1,0,2,1
4,7,29,6,2,0,0,1,2,0
3,9,13,11,3,0,0,1,2,1
1,4,14,6,3,0,0,0,0,1
2,1,10,6,3,1,1,1,1,0
3,4,12,12,1,0,1,1,2,0
1,4,7,8,1,1,0,0,2,1
4,2,5,12,3,0,0,1,2,0
2,7,26,8,2,0,0,0,1,0
3,2,1,6,2,1,0,0,1,1
4,1,29,12,2,0,1,0,1,1
1,8,12,10,2,1,0,1,2,1
1,4,16,11,3,0,1,1,1,0
1,2,11,12,1,0,0,1,1,1
4,7,10,9,2,0,0,1,1,0
3,2,28,7,3,0,0,1,0,1
1,5,26,10,3,1,1,1,2,1
1,6,5,6,3,1,0,0,0,0
2,6,17,10,1,0,0,1,0,1
3,2,26,10,2,0,1,0,2,1
1,1,22,11,1,0,0,0,2,0
3,2,9,11,3,1,0,0,1,0
1,9,1,12,1,0,0,0,1,0
4,6,6,12,1,0,0,0,0,0
1,4,0,8,1,0,1,1,2,1
2,5,10,9,1,1,0,0,2,0
1,2,21,9,1,1,0,1,0,1
1,7,7,7,1,1,0,0,0,1
2,3,19,12,3,0,1,0,0,1
1,2,12,11,1,0,0,0,2,1
4,1,1,8,1,0,1,0,2,0
1,7,14,9,1,0,0,1,1,0
2,6,8,9,1,0,0,1,1,0
1,3,26,7,2,0,1,1,1,0
2,8,21,12,3,0,1,0,0,0
3,7,11,7,1,1,1,1,1,1
2,4,1,10,1,1,0,1,0,1
2,7,4,9,1,1,1,0,1,0
4,8,10,8,2,1,0,1,1,0
1,7,15,10,2,1,1,0,0,1
4,2,26,6,1,0,1,1,2,1
3,3,6,10,2,0,1,0,1,1
1,6,2,11,1,1,0,1,1,1
4,2,16,9,3,0,1,0,1,1
1,1,25,12,2,0,0,1,0,0
1,3,20,7,2,1,1,0,1,1
1,3,4,8,1,0,1,1,2,1
4,5,27,7,3,0,1,0,0,0
1,2,6,6,1,1,1,1,2,1
3,7,5,6,3,0,1,1,0,1
4,9,16,6,2,0,0,0,2,1
2,8,16,8,2,0,0,1,0,0
3,1,11,11,3,0,1,0,1,1
2,9,6,9,2,1,0,1,2,1
2,5,17,9,1,0,0,1,2,0
3,2,24,9,2,1,1,0,0,1
1,3,24,6,2,0,1,1,1,0
3,8,19,7,1,0,0,1,2,0
4,8,2,7,3,1,1,0,2,1
1,5,10,10,2,1,1,1,0,0
1,9,28,12,1,1,1,0,2,1
2,3,14,7,1,1,1,0,0,0
3,1,23,6,3,1,1,0,1,0
1,1,19,10,1,1,1,0,2,0
4,3,18,12,1,0,0,0,0,1
4,1,18,10,2,0,0,0,1,1
1,8,13,12,3,0,1,0,2,1
4,5,18,12,1,0,1,0,1,0
3,1,0,10,2,1,1,0,2,1
4,2,20,7,3,1,1,0,1,1
1,1,17,9,2,1,0,1,0,0
4,9,22,11,1,1,1,1,2,0
2,3,3,8,3,1,0,1,0,0
4,3,17,9,1,1,0,0,1,0
2,5,7,7,3,0,0,0,1,0
3,8,7,9,1,1,1,0,2,1
3,4,0,7,2,0,0,1,1,0
3,9,10,6,1,0,0,1,0,0
3,1,4,10,3,0,1,0,2,1
2,9,25,12,2,1,1,0,1,1
2,1,17,12,3,0,1,1,2,1
2,6,8,8,1,1,1,0,0,1
4,4,26,9,3,0,1,0,1,1
1,4,1,11,1,1,0,1,2,0
1,3,6,9,1,1,0,1,1,0
1,1,17,9,3,1,1,1,1,0
4,4,1,10,2,1,0,0,1,0
2,1,0,8,2,1,1,0,1,1
4,2,27,12,2,1,0,1,0,1
3,7,10,9,1,1,0,0,1,0
4,3,12,12,2,0,0,0,1,1
4,2,0,11,2,0,0,1,2,1
4,9,8,6,3,0,0,1,0,1
3,5,17,8,2,1,1,0,0,1
1,5,18,11,3,1,0,0,0,1
1,4,14,6,2,0,1,1,1,1
3,4,28,9,2,1,0,0,0,1
1,9,26,6,3,0,0,1,0,0
1,3,8,9,2,0,1,1,0,1
2,3,5,10,3,1,0,0,2,0
1,5,21,8,3,1,0,0,0,0
4,9,24,10,2,0,0,1,0,1
4,6,22,7,2,1,0,0,1,1
2,3,2,10,2,0,1,0,0,1
4,7,24,7,1,1,0,1,2,0
2,3,29,11,3,1,1,1,0,1
4,4,19,7,3,0,1,1,0,0
1,8,9,6,3,1,1,0,2,1
4,7,18,11,3,1,0,1,0,0
4,7,8,11,3,0,1,0,0,1
2,3,18,12,2,1,0,0,0,1
2,8,16,10,2,0,1,0,0,1
2,6,12,11,1,1,0,1,0,1
3,8,25,8,3,0,1,0,0,0
1,4,26,7,1,1,0,1,2,1
3,7,18,8,1,1,0,1,1,0
4,3,2,6,2,1,1,0,2,0
4,5,26,9,2,1,1,0,0,0
2,4,20,7,2,0,0,1,2,1
2,3,8,11,2,0,1,0,2,1
4,7,22,9,2,1,1,1,0,1
3,2,2,6,2,0,0,0,2,0
2,8,11,10,1,1,0,1,1,1
2,7,2,12,3,0,0,1,2,1
4,7,19,8,3,0,1,0,0,1
1,5,6,7,2,0,0,1,1,1
2,9,14,11,2,0,1,1,2,1
3,1,3,11,1,0,0,1,0,0
1,8,8,7,2,0,0,1,1,1
4,7,18,12,1,1,1,1,2,1
2,2,22,10,2,0,1,1,0,0
1,6,9,9,3,1,1,1,2,1
4,2,8,9,3,0,0,0,1,1
3,9,20,8,1,1,1,1,1,0
2,9,3,8,2,1,1,0,2,0
4,4,10,9,2,0,1,0,0,0
2,9,27,6,1,1,0,1,1,1
2,3,17,7,2,1,0,0,2,1
3,2,4,7,3,0,0,0,2,0
1,3,2,10,3,1,0,0,2,1
3,3,18,10,3,1,1,0,2,1
2,1,25,12,1,0,0,0,0,0
3,6,22,6,2,0,0,0,0,1
2,9,11,7,2,0,1,0,2,1
3,7,5,10,3,1,1,0,2,0
2,8,15,10,1,1,0,0,0,1
3,6,18,6,1,1,0,1,2,0
4,6,8,7,1,0,0,0,1,0
3,5,6,6,3,1,0,1,1,0
1,9,7,7,1,1,0,0,1,0
4,3,3,7,3,1,0,1,0,1
4,9,22,10,2,0,0,1,0,0
3,5,8,11,2,0,0,1,0,0
3,3,7,12,2,0,1,1,0,0
2,8,22,10,1,0,1,1,2,1
1,9,4,8,3,1,0,0,0,1
3,9,13,6,3,0,0,1,2,1
1,7,14,9,3,0,1,0,2,0
2,7,23,12,1,1,1,1,0,0
1,6,28,9,3,0,0,0,0,0
4,2,23,8,3,1,0,0,0,0
2,9,19,6,2,0,0,0,0,0
4,4,11,11,3,1,1,1,2,1
1,3,8,7,2,1,1,1,2,0
4,4,16,10,3,1,0,0,0,0
4,9,24,6,1,1,0,0,0,0
2,9,29,10,1,0,1,0,2,1
4,1,16,7,2,0,1,0,2,1
4,5,29,10,3,1,1,1,1,1
2,4,20,9,1,0,0,1,0,1
4,8,5,6,1,0,0,0,1,0
1,4,9,10,1,0,1,1,1,1
4,3,12,8,2,1,0,1,0,1
1,6,26,6,3,0,1,1,2,0
2,3,12,9,3,1,1,0,1,1
2,5,28,9,2,1,0,1,2,0
