nivel_riesgo,tiempo_experiencia,horas_jornada,condicion_laboral,turno,clima_extremo,uso_epp,incidente_prev,grado_accidente
3,26,12,3,0,1,0,1,0
7,21,6,3,1,1,1,1,0
7,13,12,2,0,0,0,1,0
2,20,6,2,0,1,0,1,0
3,29,6,2,0,1,0,0,0
4,17,6,1,1,1,1,1,1
7,8,8,2,0,1,0,1,0
1,14,7,1,0,0,1,3,0
10,5,6,1,0,0,1,3,0
7,17,6,2,1,0,1,0,0
4,18,8,2,0,1,0,0,0
7,1,12,3,1,0,1,4,1
8,22,11,3,0,1,1,3,0
1,17,9,2,0,0,0,1,0
6,11,9,3,0,0,0,2,0
10,14,7,1,1,1,1,1,0
9,19,11,3,0,0,1,1,1
2,14,10,1,0,1,1,2,0
10,24,7,1,0,0,0,1,0
8,29,10,3,0,1,1,4,0
1,16,7,1,0,1,0,4,1
7,14,11,1,1,0,1,1,1
4,28,12,1,0,0,0,1,0
3,4,9,3,1,0,0,3,0
6,12,9,3,1,1,1,4,0
2,9,6,3,0,0,0,2,0
3,8,12,1,0,0,0,4,0
9,15,11,1,0,1,1,1,0
1,8,6,3,0,1,1,1,0
8,11,7,2,1,1,1,3,0
9,20,12,2,1,0,0,1,0
4,1,10,3,0,0,0,1,0
9,27,6,2,0,1,1,1,0
1,6,11,2,0,0,1,2,0
10,5,8,1,1,0,1,2,0
5,8,9,3,1,1,1,4,1
8,12,10,2,1,1,1,2,1
6,14,9,3,0,1,1,3,1
10,23,10,2,1,1,0,1,0
9,26,11,2,1,1,0,0,1
5,9,9,3,0,0,0,2,0
6,29,7,1,0,0,1,2,0
10,12,7,2,0,0,0,3,0
9,24,10,1,1,1,1,0,1
9,9,7,2,0,0,1,3,0
8,19,11,2,0,1,0,0,1
1,6,10,1,0,0,1,3,0
4,15,6,2,1,1,0,2,1
5,28,7,1,0,0,0,3,0
10,17,10,2,0,0,1,2,0
9,12,8,3,1,0,0,3,1
4,19,9,1,0,1,0,2,0
9,1,6,1,1,1,0,0,1
2,11,7,1,1,0,1,1,0
10,28,10,1,1,0,1,2,0
7,10,9,1,0,1,1,3,0
8,14,10,2,0,0,0,4,1
8,9,12,3,1,1,0,2,1
5,14,9,3,0,0,0,4,1
4,8,6,1,1,0,0,1,1
1,7,12,1,1,1,1,3,0
9,1,6,2,1,1,1,1,0
2,20,8,1,0,1,0,3,0
3,0,11,3,0,1,1,3,0
1,10,12,2,0,1,0,3,0
9,2,10,3,1,0,0,3,0
6,14,7,1,0,1,0,2,0
10,5,6,1,0,0,1,2,0
3,13,12,2,0,0,0,4,0
7,26,12,1,1,1,0,4,1
2,5,12,1,0,0,0,4,0
6,14,6,1,0,1,0,0,0
2,8,12,2,0,1,0,0,0
3,16,6,3,1,0,0,4,1
9,3,7,2,1,0,0,1,1
6,22,10,2,1,1,0,0,1
5,13,6,2,0,1,1,0,0
3,10,12,2,0,1,0,1,1
6,21,10,2,0,1,0,2,0
2,28,7,3,0,0,0,3,0
10,22,6,2,1,1,0,3,1
9,14,8,3,1,1,0,4,1
8,29,10,1,1,0,1,2,1
9,6,9,1,0,0,0,4,0
10,12,9,3,1,0,0,4,0
1,19,8,3,1,1,1,3,0
2,21,10,1,0,0,1,1,0
10,10,8,2,0,0,0,4,0
9,4,8,2,1,0,0,0,1
8,8,8,1,0,0,0,3,0
2,4,8,2,1,1,0,2,0
4,0,10,2,1,1,0,0,0
8,8,10,2,1,0,1,1,0
5,21,12,2,0,1,0,4,0
3,23,12,1,0,1,0,1,0
1,2,12,2,0,1,1,3,1
7,23,7,3,0,0,0,2,0
6,11,11,2,1,0,0,3,0
10,15,8,2,1,0,1,3,0
4,23,12,1,0,0,0,0,0
5,6,7,2,0,0,0,4,0
5,3,10,1,1,0,1,2,1
10,25,6,2,1,1,1,0,0
6,23,6,1,1,0,1,4,0
6,10,7,1,1,0,0,3,0
3,5,7,1,0,0,1,1,0
5,8,9,1,0,1,1,2,0
9,13,10,2,0,0,0,2,0
9,18,6,1,1,1,1,0,0
4,1,6,3,1,0,0,0,0
7,27,7,2,1,0,1,4,1
4,14,6,3,1,1,1,3,1
8,24,6,1,0,1,1,2,1
8,28,12,2,0,1,1,1,0
8,10,10,1,0,0,1,3,0
4,9,11,1,1,1,0,1,1
7,19,9,2,0,1,1,1,1
2,29,8,1,1,0,1,4,0
10,4,7,1,1,0,0,1,0
2,3,10,1,0,1,0,1,1
4,11,10,3,0,0,0,4,0
6,22,11,3,0,1,1,3,0
7,2,10,3,0,1,1,4,0
10,1,6,3,0,1,1,1,0
2,11,7,1,0,1,0,0,1
9,18,8,1,0,1,0,4,1
8,19,7,3,0,1,1,1,0
2,21,6,3,1,0,0,3,0
6,5,12,2,0,1,0,0,0
1,29,11,3,0,0,1,1,0
7,3,9,1,0,0,1,3,0
6,5,12,1,0,0,1,4,0
1,2,11,2,1,1,1,2,1
5,14,9,2,0,0,0,2,0
4,10,10,1,0,1,1,1,0
7,17,12,1,1,1,1,0,0
8,26,7,2,0,0,0,2,1
4,23,8,1,1,0,1,3,0
5,24,12,1,0,0,1,1,0
7,29,12,1,1,0,1,3,0
5,20,12,2,0,1,1,0,0
9,5,12,2,0,1,0,2,0
8,9,11,1,1,0,1,4,1
7,11,11,2,1,1,0,4,0
8,11,9,3,1,1,0,1,1
7,1,11,1,1,1,1,1,1
10,26,7,1,0,0,1,2,0
2,8,8,1,0,1,0,1,0
2,8,8,3,0,1,1,1,0
3,22,7,2,0,0,0,3,0
1,4,6,3,0,0,0,4,0
6,17,8,2,0,0,0,2,0
5,26,12,2,0,1,0,0,0
8,9,11,3,1,0,0,2,1
6,8,8,2,0,1,1,2,0
6,20,11,3,1,1,0,4,0
4,0,7,2,0,1,0,1,0
8,7,6,2,0,1,0,2,1
8,23,12,3,0,0,1,0,1
3,6,12,1,1,1,0,4,1
4,1,12,2,0,1,0,4,1
10,14,9,1,0,1,1,1,0
1,21,9,2,0,1,1,2,0
2,28,8,1,1,0,0,4,0
5,28,7,2,1,1,1,1,0
10,15,8,2,1,1,0,0,0
2,27,6,2,1,0,0,4,0
6,0,10,3,0,0,0,3,0
2,13,11,2,0,0,0,4,0
8,1,6,3,1,0,1,4,0
3,0,11,3,0,0,1,3,0
7,10,6,3,1,1,0,0,0
4,10,12,1,0,0,1,1,0
10,25,10,2,0,0,0,4,1
8,19,8,1,1,0,1,3,0
6,10,12,2,0,0,1,4,0
8,6,12,1,0,0,1,2,0
3,9,11,2,1,0,0,2,0
6,21,12,3,1,0,1,4,1
9,29,10,1,0,1,0,3,0
7,18,10,3,0,0,0,2,0
3,24,10,3,1,0,0,2,0
6,2,9,1,1,1,0,2,0
1,13,10,1,0,1,0,3,0
7,13,8,2,0,1,1,0,0
7,21,11,1,0,0,0,3,0
4,1,11,1,0,0,1,4,0
1,14,9,1,0,1,1,3,1
5,21,10,3,1,0,0,3,0
4,24,7,1,0,0,0,1,0
2,28,7,2,0,1,1,1,0
6,0,9,2,0,0,1,4,0
10,4,7,1,1,0,0,3,0
3,29,10,3,1,0,1,1,0
5,9,9,2,0,1,1,3,1
5,29,10,2,0,1,0,2,0
2,5,9,1,1,1,1,1,0
8,26,10,3,0,0,0,3,0
2,4,9,1,1,0,0,1,0
10,14,10,2,0,1,0,3,1
6,16,6,1,0,0,0,2,0
10,7,12,3,0,0,0,1,1
3,14,12,1,0,1,1,2,1
9,17,8,1,1,0,0,3,1
4,5,9,3,0,1,0,0,1
9,27,12,3,0,0,0,4,0
10,5,9,2,0,0,1,4,0
10,22,10,2,1,0,0,3,0
9,29,8,2,0,0,1,2,0
10,15,8,1,1,1,0,3,0
9,17,6,1,0,0,1,4,0
10,1,7,3,1,1,1,2,0
7,27,7,3,0,1,1,2,0
3,29,8,1,1,1,1,4,0
3,22,9,3,0,0,0,4,0
2,16,12,1,1,0,0,1,0
1,2,11,3,1,1,0,4,1
1,10,7,3,1,1,1,3,0
2,12,12,1,0,0,1,2,0
1,3,7,1,1,1,0,2,0
10,7,11,3,0,1,0,0,0
8,2,7,1,0,0,1,1,0
7,2,8,3,0,1,1,4,0
1,25,12,1,0,0,0,2,0
6,25,10,3,0,1,1,4,1
7,22,8,3,0,1,1,3,0
7,19,10,3,1,0,0,2,0
5,19,6,1,1,0,1,1,0
5,17,11,1,1,0,1,4,0
4,23,12,3,0,1,0,1,0
2,23,10,3,1,1,0,4,0
10,15,7,2,0,0,0,1,1
6,25,6,2,1,1,1,1,0
4,1,6,1,0,0,1,4,0
6,5,6,1,0,0,0,4,0
1,26,8,3,0,1,0,3,0
10,29,12,3,0,0,1,4,0
2,29,6,3,0,0,0,0,0
2,17,8,1,1,0,0,2,0
3,6,8,3,1,1,0,2,0
9,5,9,1,0,1,1,3,1
1,17,11,3,0,0,0,4,0
7,11,8,1,1,0,0,4,0
6,25,10,1,1,0,0,0,0
9,17,8,3,1,1,0,0,0
4,16,11,2,1,0,0,3,0
9,20,12,3,0,1,1,1,0
10,2,7,2,1,0,0,1,1
5,12,8,3,0,0,0,0,0
1,15,8,2,1,1,0,0,0
8,1,8,3,0,1,0,4,0
10,3,11,2,0,1,0,4,0
8,29,10,1,0,0,1,2,0
5,13,11,1,0,1,1,1,0
8,11,12,3,0,0,1,2,0
10,3,11,2,1,0,0,4,1
3,29,7,2,1,1,0,0,0
2,10,11,3,0,1,1,0,0
4,11,8,2,1,0,1,2,0
5,12,11,1,1,0,0,0,0
2,21,12,3,0,0,0,3,1
1,24,7,1,1,1,1,2,0
8,22,11,3,1,1,1,2,1
7,10,11,1,1,0,1,3,0
6,19,10,2,0,0,1,0,0
5,4,9,1,1,1,1,3,0
2,26,6,2,0,0,0,4,0
5,0,12,3,1,0,1,3,1
8,24,7,2,1,1,1,0,1
10,24,12,1,1,1,1,0,0
8,19,11,2,0,0,0,0,0
10,2,8,2,1,0,1,4,0
4,6,11,2,1,0,1,1,0
10,14,8,1,1,0,1,3,0
10,21,8,1,0,0,0,0,1
4,22,8,3,1,1,0,3,0
3,6,7,3,0,1,0,4,0
6,8,11,2,0,1,1,2,0
3,5,6,2,1,1,0,4,1
2,26,9,3,0,1,1,2,0
8,10,10,3,0,1,1,4,1
6,18,7,1,1,0,1,1,0
7,6,11,1,1,1,0,4,0
1,24,6,2,0,1,1,0,0
8,16,8,2,0,1,0,4,1
1,17,12,3,0,1,0,0,0
9,19,10,2,1,0,1,1,0
1,9,11,2,1,1,0,3,0
9,18,8,1,1,0,1,2,0
8,22,12,1,1,1,0,1,1
9,6,10,3,0,1,0,3,0
6,17,9,2,0,0,0,1,1
9,17,12,3,1,1,0,2,0
1,10,9,2,0,1,0,2,0
1,20,6,1,0,1,1,0,0
3,4,7,1,0,1,1,3,0
5,24,9,3,1,0,0,4,1
10,13,7,3,0,1,0,0,1
5,0,7,1,0,0,1,3,0
7,4,6,1,1,1,1,1,0
7,4,6,2,1,0,1,2,0
7,7,12,3,1,1,0,3,1
8,15,8,2,1,0,1,3,0
9,10,8,3,1,0,0,1,0
8,24,12,2,0,1,0,2,1
5,6,9,1,0,0,0,1,0
5,24,10,2,0,0,0,2,0
5,3,7,3,0,1,1,0,0
9,6,11,2,0,1,0,1,1
2,11,9,1,0,0,1,1,0
3,3,6,2,1,1,1,1,0
4,13,9,2,0,1,0,0,0
1,24,6,3,0,0,1,1,1
9,3,10,3,0,1,1,1,0
4,18,7,3,0,0,0,2,1
5,14,11,1,0,0,0,4,0
6,29,12,2,1,1,0,2,0
10,22,12,2,0,1,0,0,0
9,20,12,3,1,0,1,3,0
5,18,12,1,0,0,0,4,0
2,23,10,1,1,1,1,4,1
1,8,6,1,0,1,0,4,0
1,11,8,3,0,1,1,4,0
5,21,11,2,0,0,1,2,0
6,3,7,3,0,1,1,2,0
2,29,11,3,1,0,0,1,0
5,14,6,3,0,0,0,1,0
1,23,11,2,1,1,0,1,0
7,3,12,3,1,0,0,3,1
9,16,6,3,0,1,1,2,0
6,0,11,1,1,1,1,0,0
4,20,7,1,0,0,0,4,0
8,6,11,3,0,1,1,2,0
9,29,6,1,0,1,1,0,1
4,20,12,2,0,1,0,2,1
3,14,10,1,1,1,0,3,1
8,5,12,3,0,1,1,3,0
9,15,7,2,1,0,1,4,1
4,14,12,2,1,1,0,2,1
1,0,12,2,0,0,1,2,0
5,23,11,1,1,1,1,2,1
9,9,11,3,1,1,0,0,0
1,5,10,3,1,0,1,3,0
2,6,11,1,1,0,0,3,0
4,16,12,3,1,0,1,2,0
5,3,9,3,0,0,0,3,0
1,2,10,3,1,0,1,0,0
3,21,6,3,0,1,1,4,0
1,11,9,3,1,1,1,4,1
6,6,10,1,1,1,1,1,0
4,0,11,3,1,1,0,3,0
3,25,10,2,1,0,0,3,1
1,29,10,2,0,0,1,3,0
2,4,10,3,0,1,1,1,0
4,9,7,1,1,1,0,1,1
3,25,8,1,1,0,1,2,0
10,21,6,1,1,0,1,2,0
3,25,11,3,0,1,0,1,0
10,6,11,1,0,0,1,3,1
5,27,7,2,1,0,1,3,0
1,21,9,1,0,1,0,4,0
5,14,6,3,1,1,0,4,0
1,8,7,3,1,0,1,2,1
5,7,9,3,0,0,0,0,1
2,29,11,1,0,1,1,4,0
5,8,10,2,0,0,1,1,0
3,7,7,3,0,1,1,3,0
4,16,9,3,1,1,0,2,0
1,24,6,1,0,1,1,1,0
5,19,8,2,1,0,1,2,0
7,13,10,2,0,1,0,4,1
3,6,8,1,1,0,1,1,0
10,11,6,1,0,0,0,3,0
8,17,10,1,0,0,0,1,0
7,0,12,3,0,0,1,4,0
9,8,6,1,1,0,0,2,1
3,8,9,1,1,0,0,3,1
10,4,6,1,0,1,0,4,1
5,8,10,1,1,0,1,2,0
9,9,11,2,1,0,1,0,0
6,15,7,1,1,0,0,4,1
8,1,10,2,0,0,0,0,0
3,28,11,1,0,0,0,3,0
5,16,12,3,0,0,1,0,0
5,20,11,1,0,1,1,1,0
5,0,9,2,1,1,1,1,0
1,3,10,3,1,0,1,4,0
6,18,10,3,1,0,1,2,1
7,1,7,2,1,1,1,2,0
4,0,9,3,0,1,0,2,0
5,7,6,3,0,1,1,4,0
9,8,8,1,1,1,0,2,0
5,6,9,3,0,0,1,2,1
7,2,10,2,0,0,0,1,0
7,15,6,1,0,0,0,2,1
1,2,10,2,0,0,0,0,1
10,14,9,3,1,1,1,0,1
3,24,12,3,0,0,0,2,1
3,5,8,3,1,0,0,0,1
6,29,11,1,0,0,1,1,0
5,16,7,1,1,0,0,4,0
5,4,7,1,1,1,0,0,0
8,24,10,1,1,1,1,4,1
10,24,8,2,1,0,1,1,0
9,12,12,3,0,0,0,4,0
2,15,8,1,0,1,0,1,1
10,29,11,3,0,0,1,1,0
4,19,10,1,1,1,1,1,1
3,7,12,2,1,0,0,0,1
7,8,7,1,1,0,1,0,0
6,23,10,2,1,1,1,0,0
5,8,8,2,0,1,1,1,0
3,28,6,2,0,0,0,3,1
1,1,7,1,0,0,1,2,1
4,21,9,1,1,0,1,2,0
4,14,12,1,1,1,1,3,0
5,24,9,3,1,1,0,3,0
2,5,7,1,1,0,0,3,0
5,4,11,2,1,1,0,3,0
1,8,11,2,1,0,1,4,0
1,12,12,3,1,1,1,2,0
4,3,9,1,0,0,1,4,0
5,24,8,2,1,1,1,1,0
2,17,9,2,0,1,1,1,0
3,5,6,1,0,0,1,4,1
1,9,10,1,0,0,1,1,0
9,5,10,1,1,1,0,4,0
1,17,7,2,0,1,0,4,1
7,3,6,1,1,1,1,1,0
7,2,10,2,0,0,1,0,0
4,26,12,2,1,0,0,3,0
5,16,9,3,0,0,0,3,1
10,29,10,2,1,0,0,3,0
1,27,7,2,0,1,0,0,0
9,19,12,2,1,0,0,2,1
1,13,8,3,1,0,1,1,1
1,25,6,1,1,1,0,2,0
10,2,11,2,1,1,1,2,0
3,7,8,3,0,1,1,2,0
8,25,7,3,0,1,1,0,0
2,12,6,1,1,0,1,4,0
2,9,11,1,0,0,0,0,0
7,25,10,3,1,0,0,4,0
9,18,6,3,1,1,0,0,1
7,16,9,2,0,1,1,0,0
8,5,7,2,1,0,0,4,0
3,9,12,1,0,1,1,1,0
5,9,12,3,1,0,0,0,0
2,20,8,3,1,1,0,1,0
1,29,9,3,0,0,1,3,0
9,25,6,3,1,0,0,0,1
2,21,6,2,1,0,1,2,0
10,29,11,3,0,1,0,2,1
3,16,10,3,1,1,1,0,0
1,29,7,3,1,0,1,4,0
2,26,8,1,1,1,1,0,0
7,16,11,2,1,0,0,1,1
5,10,8,1,1,0,1,4,0
3,27,11,1,1,1,1,2,0
4,3,9,2,1,1,1,1,0
8,28,11,1,0,0,0,1,0
9,12,8,3,0,1,0,1,0
10,0,7,2,0,0,1,2,0
10,28,7,3,0,0,0,1,0
10,0,11,1,0,1,0,3,0
5,2,8,1,0,1,0,1,0
9,27,9,1,1,1,0,3,0
9,21,7,3,0,0,0,1,0
10,8,6,3,0,1,0,2,0
6,14,6,1,0,0,1,1,0
1,10,9,3,0,0,0,0,0
1,24,8,1,1,0,1,1,0
10,29,8,2,1,0,0,0,0
1,0,8,3,0,0,0,2,0
8,9,12,1,0,1,0,4,0
10,26,7,3,1,0,1,2,0
8,9,10,1,1,1,0,0,0
2,5,7,1,1,1,0,0,0
4,7,9,3,0,1,1,3,1
2,0,6,1,0,0,1,1,0
4,29,7,3,1,0,0,3,0
6,7,7,3,0,1,1,2,0
4,10,10,3,1,0,0,2,0
5,1,8,2,1,0,1,0,1
3,27,10,2,1,0,1,3,0
5,13,7,3,1,1,1,3,1
3,5,7,3,0,0,1,2,0
5,18,8,3,1,0,0,4,0
2,4,10,3,1,0,0,2,0
4,26,12,1,0,1,1,4,0
4,7,12,3,0,0,1,3,0
8,10,10,2,1,1,0,0,0
7,12,8,2,1,1,0,4,0
3,5,10,3,1,1,1,0,1
6,19,7,1,1,0,0,4,1
4,2,9,3,1,1,1,3,0
4,23,9,1,1,0,1,1,0
9,6,6,3,0,1,0,1,0
7,15,8,1,0,1,0,3,0
1,4,7,3,0,0,0,3,0
8,26,6,3,1,0,1,3,0
7,3,11,3,1,0,0,4,0
5,0,10,1,1,0,1,1,0
7,25,9,3,1,0,0,3,0
8,11,10,1,1,1,0,0,1
2,24,6,1,1,0,0,3,1
10,1,8,3,0,1,1,2,0
10,23,7,3,1,1,1,4,1
7,27,9,2,1,1,0,2,0
8,7,6,3,0,0,0,4,1
3,15,12,2,0,1,0,1,0
2,4,7,3,0,0,0,3,0
3,20,6,3,1,0,1,0,1
5,29,11,1,1,0,0,3,0
9,3,8,3,0,1,1,1,1
8,0,9,1,0,0,0,4,0
1,27,8,1,1,0,0,2,0
8,6,11,2,0,1,0,0,0
1,13,6,3,0,1,0,0,0
8,23,11,1,0,1,0,2,1
9,0,11,3,1,1,1,3,0
2,27,9,2,0,0,0,2,0
9,1,7,3,1,1,0,3,1
3,0,6,1,1,0,0,0,0
7,28,10,1,0,1,0,4,0
10,14,10,1,0,0,0,2,0
4,21,7,1,0,0,0,4,1
7,9,7,1,0,1,1,0,0
2,7,9,1,1,0,0,3,0
9,9,7,3,1,0,0,1,1
2,18,7,3,0,1,0,4,0
7,14,12,1,0,1,1,0,0
4,11,7,3,1,1,1,0,1
9,10,10,3,1,0,0,0,0
5,19,8,1,0,1,0,4,0
4,26,6,3,0,1,0,0,1
5,21,10,3,0,0,1,4,0
